world_size,M,K,N,num_comm_sms,impl,ms_mean,ms_std,ms_min,ms_max,tflops_mean,tflops_std,tflops_min,tflops_max,ranks
8,32768,4096,32768,0,NCCL,21.86095600128174,0.003261076167753976,21.855001831054686,21.864813232421874,402.36544060462916,0.06002791069877821,402.2944503895812,402.4750530887288,8
8,32768,4096,32768,0,PK,11.280659103393555,0.09093406436580405,11.187161254882813,11.456979370117187,779.7939954346795,6.249122177533392,767.7497478218842,786.2667589929309,8
8,32768,32768,4096,0,NCCL,14.101688766479493,0.001248214979318747,14.099961853027343,14.103910827636719,623.7616804745835,0.05521100678890864,623.6634029883393,623.8380723221196,8
8,32768,32768,4096,0,PK,11.616152095794678,0.294823035427028,11.275852966308594,12.181075286865234,757.6497948792622,18.931950225240584,722.1113748219555,780.0822739077981,8
