world_size,M,K,N,impl,ms_mean,ms_std,ms_min,ms_max,tflops_mean,tflops_std,tflops_min,tflops_max,ranks
8,2048,256,2048,NCCL,0.05793887913227082,0.00019526889375137858,0.05756608009338379,0.05813759803771973,37.0650085299446,0.1252564263841901,36.937949287253154,37.30467046768424,8
8,2048,256,2048,PK,0.03848087996244431,9.86089235778172e-05,0.03826816082000732,0.03856127977371216,55.80683259828972,0.14346235153031797,55.690155010466576,56.116719538746544,8
8,4096,512,4096,NCCL,0.1475936007499695,6.741344373467606e-05,0.14750847816467286,0.1477235221862793,116.39984546550427,0.05314741734065475,116.2974516836675,116.46699496703536,8
8,4096,512,4096,PK,0.12758960008621217,3.686360465311274e-05,0.12751999855041504,0.1276159954071045,134.6494575392271,0.03891582533527227,134.6215976233617,134.72294055279443,8
8,8192,1024,8192,NCCL,0.5784490394592285,0.00041739963911823267,0.577784309387207,0.578911361694336,237.59917768913007,0.17150698915424648,237.4093212987716,237.87242270003236,8
8,8192,1024,8192,PK,0.456391921043396,6.836767638141723e-05,0.4562502288818359,0.4564467239379883,301.1423950206705,0.04511895001965556,301.1062326973171,301.23591128673223,8
8,16384,2048,16384,NCCL,2.89025821685791,0.0006069968632521188,2.8894732666015623,2.891085510253906,380.4198752192064,0.07989191217256779,380.3110021742099,380.5232048639731,8
8,16384,2048,16384,PK,1.9659354782104492,7.086167512096992e-05,1.9658125305175782,1.965999298095703,559.2816454112982,0.020159798038847307,559.2634894839504,559.3166238931797,8
8,32768,4096,32768,NCCL,17.601246185302735,0.00043261555262629056,17.60032470703125,17.601676025390624,499.7426281215576,0.012283367136527555,499.73042393914835,499.7687922594974,8
8,32768,4096,32768,PK,13.210611572265625,0.00010588299171638153,13.210372314453124,13.21071044921875,665.8354137948438,0.005336730428632907,665.8304302421661,665.8474729424865,8
