world_size,M,K,N,best_num_comm_sms,best_impl,best_ms_mean,best_tflops_mean
8,2048,2048,256,8,NCCL,0.0538225597143173,39.89939130038313
8,4096,4096,512,4,TK,0.14742720246315,116.53120348056912
8,8192,8192,1024,2,TK,0.46158616065979,297.75362737233525
8,16384,16384,2048,2,TK,1.7020582389831542,645.9894286541047
8,32768,32768,4096,4,TK,13.258815612792969,663.414687945523
