rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
1,8,2048,2048,256,4,NCCL,0.06235520243644714,34.43952652048127
1,8,2048,2048,256,4,TK,0.05959039926528931,36.0374099599444
2,8,2048,2048,256,4,NCCL,0.06144639849662781,34.94889367873781
2,8,2048,2048,256,4,TK,0.059359997510910034,36.17728669219207
3,8,2048,2048,256,4,NCCL,0.06147199869155884,34.93433910901756
3,8,2048,2048,256,4,TK,0.059539198875427246,36.06840012229825
4,8,2048,2048,256,4,NCCL,0.06119040250778198,35.095105768047375
4,8,2048,2048,256,4,TK,0.05959039926528931,36.0374099599444
5,8,2048,2048,256,4,NCCL,0.059724801778793336,35.956312688215796
5,8,2048,2048,256,4,TK,0.059308797121047974,36.20851799804727
6,8,2048,2048,256,4,NCCL,0.05958399772644043,36.04128171895141
6,8,2048,2048,256,4,TK,0.05782399773597717,37.13827704900918
7,8,2048,2048,256,4,NCCL,0.06042240262031555,35.54118265528821
7,8,2048,2048,256,4,TK,0.0595583975315094,36.05677346949895
0,8,2048,2048,256,8,NCCL,0.06285439729690552,34.166004931300584
0,8,2048,2048,256,8,TK,0.0599295973777771,35.83344026930377
1,8,2048,2048,256,8,NCCL,0.06254079937934875,34.337323304330965
1,8,2048,2048,256,8,TK,0.05984640121459961,35.88325453855558
2,8,2048,2048,256,8,NCCL,0.061292797327041626,35.036476415680845
2,8,2048,2048,256,8,TK,0.06002560257911682,35.77612811415773
3,8,2048,2048,256,8,NCCL,0.061414402723312375,34.96710140901254
3,8,2048,2048,256,8,TK,0.060063999891281125,35.753257390234644
4,8,2048,2048,256,8,NCCL,0.06152960062026978,34.901634763618986
4,8,2048,2048,256,8,TK,0.060185599327087405,35.68102124113091
5,8,2048,2048,256,8,NCCL,0.06034560203552246,35.58641517464492
5,8,2048,2048,256,8,TK,0.05976319909095764,35.933211084159
6,8,2048,2048,256,8,NCCL,0.0597760021686554,35.925514756590246
6,8,2048,2048,256,8,TK,0.05768960118293762,37.22479621916928
7,8,2048,2048,256,8,NCCL,0.06349440217018128,33.82162166428771
7,8,2048,2048,256,8,TK,0.060089600086212155,35.73802529753814
0,8,2048,2048,256,16,NCCL,0.06044160127639771,35.52989336234854
0,8,2048,2048,256,16,TK,0.05980799794197082,35.90629551057055
1,8,2048,2048,256,16,NCCL,0.060166400671005246,35.69240679266513
1,8,2048,2048,256,16,TK,0.05985919833183288,35.8755831659372
2,8,2048,2048,256,16,NCCL,0.05991680026054382,35.84109362752724
2,8,2048,2048,256,16,TK,0.05976319909095764,35.933211084159
3,8,2048,2048,256,16,NCCL,0.060127997398376466,35.715203248362045
3,8,2048,2048,256,16,TK,0.05980799794197082,35.90629551057055
4,8,2048,2048,256,16,NCCL,0.06033920049667359,35.590190627706235
4,8,2048,2048,256,16,TK,0.059910398721694944,35.844923315830755
5,8,2048,2048,256,16,NCCL,0.05969280004501343,35.97558912265156
5,8,2048,2048,256,16,TK,0.05945600271224975,36.11887025761241
6,8,2048,2048,256,16,NCCL,0.059539198875427246,36.06840012229825
6,8,2048,2048,256,16,TK,0.05818880200386047,36.90544527549351
7,8,2048,2048,256,16,NCCL,0.06095359921455383,35.231449425011924
7,8,2048,2048,256,16,TK,0.059961599111557004,35.81431582577813
0,8,2048,2048,256,32,NCCL,0.07323520183563233,29.32310684170395
0,8,2048,2048,256,32,TK,0.059699201583862306,35.97173146416921
1,8,2048,2048,256,32,NCCL,0.0723136007785797,29.696815327665362
