world_size,M,K,N,num_comm_sms,impl,ms_mean,ms_std,ms_min,ms_max,tflops_mean,tflops_std,tflops_min,tflops_max,ranks
8,2048,2048,256,1,NCCL,2.574539262056351,2.1260420541544045,0.11490559577941895,4.960480117797852,4.198362648546369,6.390764356814874,0.43291850728218434,18.689112862026878,8
8,2048,2048,256,1,PK,0.07271279990673066,0.004189203727914335,0.06401919722557067,0.0782912015914917,29.625235256816737,1.8182648306958522,27.42943784673472,33.54437014312088,8
8,2048,2048,256,2,NCCL,0.0643992006778717,0.0013512381106918752,0.06164479851722717,0.06580479741096497,33.359542700011566,0.7142100975834474,32.63415028221282,34.836412798070334,8
8,2048,2048,256,2,PK,0.05970960035920143,0.0007907931846408278,0.05802879929542541,0.06024320125579834,35.97108357133747,0.48471122588792814,35.646904600596855,37.00720459624076,8
8,2048,2048,256,4,NCCL,0.06106320023536682,0.0010653557818857567,0.05958399772644043,0.06235520243644714,35.177616586026275,0.6160220869904313,34.43952652048127,36.04128171895141,8
8,2048,2048,256,4,PK,0.0593039982020855,0.0006100299949699476,0.05782399773597717,0.05966079831123352,36.214870185946864,0.3802176739184155,35.994886236640426,37.13827704900918,8
8,2048,2048,256,8,NCCL,0.061656000465154646,0.0012567841877678082,0.0597760021686554,0.06349440217018128,34.84276155243335,0.7109371212066075,33.82162166428771,35.925514756590246,8
8,2048,2048,256,8,PK,0.059699200093746185,0.0008234030930479389,0.05768960118293762,0.060185599327087405,35.97789176928113,0.5103817511834992,35.68102124113091,37.22479621916928,8
8,2048,2048,256,16,NCCL,0.06014719977974892,0.0004478172662547777,0.059539198875427246,0.06095359921455383,35.70552829107137,0.26515594700944906,35.231449425011924,36.06840012229825,8
8,2048,2048,256,16,PK,0.05959439948201179,0.000587902976315575,0.05818880200386047,0.059961599111557004,36.038117493244016,0.3622087992569216,35.81431582577813,36.90544527549351,8
8,2048,2048,256,32,NCCL,0.07012799978256226,0.003265593483579931,0.06412799954414368,0.07423359751701356,30.682017111156497,1.466313105015123,28.9287293062662,33.487457323875205,8
8,2048,2048,256,32,PK,0.05917040109634399,0.0008029304494654986,0.057920002937316896,0.05975040197372437,36.29912221434434,0.49814469292403124,35.94090712468127,37.07671856170456,8
8,2048,2048,256,64,NCCL,0.06395760029554368,0.0013095023492766858,0.0616703987121582,0.0652671992778778,33.58917378511691,0.6976680829109858,32.90295388433935,34.82195174419438,8
8,2048,2048,256,64,PK,0.059037599712610245,0.0008481591112953975,0.05711359977722168,0.059571200609207155,36.381568377161734,0.5347329668089398,36.04902412640129,37.60021529682095,8
8,4096,4096,512,1,NCCL,0.26163199841976165,0.03684626804382767,0.17365119457244874,0.28741118907928465,67.25952940728482,12.998854722269206,59.774531531062955,98.93320472858834,8
8,4096,4096,512,1,PK,0.1609855994582176,0.000760380156714404,0.15915520191192628,0.16143360137939453,106.71890940056068,0.5086487790632063,106.42065243669184,107.94412609590378,8
8,4096,4096,512,2,NCCL,0.15786079913377762,0.0004279685540195132,0.15708160400390625,0.15834239721298218,108.8299309711376,0.2955866938504691,108.49822591034675,109.36907152776958,8
8,4096,4096,512,2,PK,0.14914720207452775,0.0009085539755194802,0.147705602645874,0.1502784013748169,115.19108078410943,0.7021851872148441,114.32028173596834,116.31156080916541,8
8,4096,4096,512,4,NCCL,0.15994799882173538,0.0013253195687947562,0.157695996761322,0.16161279678344725,107.41558256571817,0.8953636376228906,106.30265378687884,108.94296327637466,8
8,4096,4096,512,4,PK,0.1484487995505333,0.0007857066888954939,0.14677759408950805,0.1490496039390564,115.73211145186103,0.616493199764788,115.26276306661323,117.04694637196025,8
8,4096,4096,512,8,NCCL,0.15865359902381898,0.0011523045012525126,0.15616639852523803,0.15959680080413818,108.29045235974118,0.7942699171795456,107.64544838892874,110.0100235789427,8
8,4096,4096,512,8,PK,0.15159119963645934,0.0006083741343681725,0.15012480020523072,0.1518847942352295,113.33186380961017,0.45838042954223723,113.11118582017441,114.43724927869319,8
8,4096,4096,512,16,NCCL,0.15897519886493683,0.0007951498345587561,0.15777280330657958,0.15998079776763915,108.06871865910136,0.5416543652214597,107.38707034673342,108.88992794668526,8
8,4096,4096,512,16,PK,0.15080080181360245,0.0010375949560652415,0.14824960231781006,0.1513216018676758,113.92904378360947,0.7952126714525852,113.53216574473653,115.88475729716062,8
8,4096,4096,512,32,NCCL,0.1594887986779213,0.0011831496678359455,0.157695996761322,0.16104960441589355,107.72355156930597,0.8023728813143394,106.67439542189005,108.94296327637466,8
8,4096,4096,512,32,PK,0.14932239949703216,0.0006144082959732111,0.14799360036849976,0.14986879825592042,115.05390437885443,0.4759810879774024,114.63272798560207,116.08521680141997,8
8,4096,4096,512,64,NCCL,0.15782639980316163,0.0006423539376958013,0.1567744016647339,0.1585088014602661,108.85453211489133,0.4442995415294254,108.38432330400612,109.58338224590769,8
8,4096,4096,512,64,PK,0.14954639822244645,0.000605768675949036,0.14812159538269043,0.14993280172348022,114.88152049689994,0.46869298089495326,114.5837934495794,115.98490510187717,8
8,8192,8192,1024,1,NCCL,0.592552798986435,0.007474524542155816,0.5815104007720947,0.6027904033660889,231.97615615042116,2.9307974834432526,228.00454802285572,236.34822917959298,8
8,8192,8192,1024,1,PK,0.5602983951568603,0.0007166067062412509,0.5586175918579102,0.5607679843902588,245.29634890933193,0.31443396809708346,245.0905852291868,246.0340588539126,8
8,8192,8192,1024,2,NCCL,0.5699280023574829,0.0034863251975787352,0.565228796005249,0.5752831935882569,241.15931342402678,1.4726404116434093,238.9066028763012,243.15631907530002,8
